问题ID,热度,标题,摘录
1970453605287981531,436,通背拳能打弯扳手，却打不倒耳光选手，是否说明打耳光选手的脸，比扳手更硬？,我看了很多人的分析，没人质疑打扳手是假的！一种说法是只要不怕手疼，普通人也能打弯扳手，另一种说法是靠技巧靠杠杆原理。类似手法的三仙归洞
1965734865191301577,386,大象肉多，为何没人养殖食用？,一头大象重量达几吨，是猪的 20 多倍。
1971490395637638347,290,汉堡王中国也卖了，CPE 源峰将控股 83%，计划十年内门店翻三倍，能实现吗？汉堡王目前面临哪些问题？,星巴克交出中国业务控股权之后，汉堡王中国业务也被中国资方买了。 11 月 10 日，CPE 源峰宣布与美国餐饮品牌汉堡王达成战略合作，双方将成立合资企业（「汉堡王中国」）。 该交易之前，餐饮品牌国际集团（Restaurant Brands International，RBI） 的一家子公司持有汉堡王中国近 100% 的股权。 本次交易，CPE 源峰将向汉堡王中国注入 3.5 亿美元的初始资金，用于支持其餐厅门店扩张、市场营销、菜单创新以及运营能力提升。在本次交易中，汉堡王中国旗下全资关联企业将签署一份为期 20 年的主开发协议，该协议将授予其在中国独家开发汉堡王品牌的权利。交易完成后，CPE 源峰将持有汉堡王中国约 83% 的股权，RBI 将保留约 17% 的股权。 来自中国的 CPE 源峰持续深耕连锁消费服务领域，相关领域投资金额累计约 100 亿人民币，先后投资了包括蜜雪冰城、爱尔眼科、老铺黄金、泡泡玛特、美丽田园、雍禾植发、丝域养发在内的多家企业。 根据整体规划，双方计划将汉堡王在中国市场的门店规模从目前的约 1250 家，拓展至 2035 年的 4000 家以上。 该笔交易预计将于 2026 年第一季度完成，具体时间依监管审批程序进展而定。 就在不久前，另一餐饮行业龙头企业星巴克宣布与博裕投资达成战略合作，双方成立合资企业，共同运营星巴克在中国市场的零售业务。博裕投资将持有合资企业至多 60% 股权，星巴克保留 40% 股权。在未来，中外合资开公司，再合力帮助国外品牌开展中国市场业务或许会成为一个趋势。 汉堡王中国也被卖了！投过蜜雪冰城的 CPE 源峰将持股约 83%
1969088528672614019,223,前国脚孙继海称「苏超只是文旅项目」，你对他这一说法有何看法？,在近日一档节目中，前国足球员孙继海谈到了今年国内顶流体育赛事——苏超。 孙继海表示，苏超「也就只能带动文旅」。在孙继海看来，苏超和职业足球不太一样，「一个是草根的群众体育，一个是竞技体育」。 自从今年上半年开赛以来，江苏省城市足球联赛（即「苏超」）作为一项出圈的业余足球比赛，早已引发全社会的关注。如今就在 11 月 1 日决赛开始前，孙继海的一番言论，再度引发了网友有关这项赛事的热烈讨论。前国足孙继海评价「苏超」：只能带动文旅？
1970775220357936878,194,年轻人捡漏「烂尾车」，半价买哪吒， 12 万元抄底高合，‌是理性消费还是冒险行为？如何看待他们的选择？,有车主表示，因为倒闭，才有好价；还有车主称，车企没了，才买得起。 「大多数人对买‘倒闭车’是嗤之以鼻的，就算现在便宜，他们也觉得这钱打水漂了，不敢承担风险。」江先生认为，7 万多元买「倒闭电车」，开 10 万公里就回本了，车是否保值并不在他的考虑范围内。 年轻人「捡漏」倒闭车企的烂尾车是理性消费还是冒险行为？你会用半价买一辆可能没有售后保障的车吗？‌如何看待「开 10 万公里就回本」的购车逻辑？ 突然火了！年轻人捡漏倒闭车企「烂尾车」，有人半价买哪吒，有人 12 万元抄底高合，「开 10 万公里就回本了」 | 每经网
1971183777872049053,182,歌手泫雅演出时晕倒，她曾一个月晕倒 12 次，确诊迷走神经性晕厥，这是一种什么病？怎样避免患上这种病？,11 月 9 日，泫雅在中国澳门 Water Bomb 音乐节表演歌曲《Bubble Pop》后，毫无征兆地晕倒在舞台上，最终由多名工作人员抱离现场。 据此前报道，泫雅曾在一档节目中透露，自己曾因饮食不规律和精神压力大，一个月晕倒了 12 次。金泫雅在节目中表示，「以前干脆不吃东西，一周没吃，后来神经性晕倒（迷走神经性晕厥）」。 早在 2019 年，金泫雅就在社交平台发长文坦言自己患有恐慌障碍和忧郁症。「2016 年去医院后才知道，这样一直坚强的我，无法相信自己患上了忧郁症和恐慌障碍」，而选择公开患病事实， 是「想要心情能稍微轻松一些」，并因状态不好对支持自己的人感到抱歉。 看着都疼！女歌手演出时当场晕倒，此前曾一个月晕倒 12 次
1970626014137775323,170,武汉牛肉面馆一碗「管饱面」全网爆火，有人驱车 500 公里来打卡，面馆做法为何能如此打动消费者？,近日，一名大学生在社交平台晒出自己点的外卖备注单走红，订单备注中写下“多加点面可以吗？我总是吃不饱“，结果收到的外卖是一碗几乎要溢出来的牛肉面。 大学生一句外卖备注「多加点面」，武汉某牛肉面馆一碗「管饱面」全网爆火，甚至让外地顾客连夜驱车 500 公里来打卡
1971140281039550325,149,北京银行、中国银行等多家银行关闭部分 App，为何银行纷纷进行 App 瘦身？你觉得使用更方便了吗？,近期，北京银行、中国银行等多家机构相继启动旗下直销银行、信用卡及生活服务类 App 的功能迁移与关停。 北京银行 日前，北京银行发布公告称，因直销银行业务调整，其直销银行 App 、直销银行网站将于 11 月 12 日起停止服务，原直销银行相关业务功能已迁移至北京银行「京彩生活」手机银行 App。 图源北京银行官网 中国银行 中国银行网站近日发布公告称，已启动「缤纷生活」App 服务迁移， 「缤纷生活」App 全部功能将逐步迁移至「中国银行」App；迁移完成后，「缤纷生活」App 将停止下载注册，并逐步关停服务，具体时间后续继续以公告形式发出。 「缤纷生活」App 是中国银行信用卡官方客户端，提供查账还款、额度管理、账单 / 消费分期、现金分期、自动分期设置、卡片申办、进度查询、卡片激活、交易密码管理等服务。 「缤纷生活」App 截图 此外 ▪今年 7 月，华润银行发布公告称，润钱包 App 将于 2025 年 10 月 15 日起正式停止服务。 ▪今年 3 月底，北京农商行与江西银行已分别将「凤凰信用卡」「惠享精彩」App 关停，相关功能并入手机银行 App。 ▪去年，渤海银行、上海农商行等也已关停旗下信用卡 App。 国有大行的整合趋势亦越发清晰 ▪建设银行虽保留独立「建行生活」App，但在 2024 年底上线的手机银行 2025 版中，已强化与「建行生活」的融合联动，实现用户体系互通、权益共享。 ▪工商银行则更早行动，自 2021 年起陆续终止多个冗余 App，并将微信公众号等数字渠道整合为统一入口。 直销银行领域更早进入「退场潮」 据中国互联网金融协会 2024 年 11 月公告，包括民生直销银行、昆仑直销银行在内的 25 款金融客户端主动申请注销备案，涵盖理财、企业金融、消费信贷等多个细分领域。 浦发银行等机构也在整合旗下企业银行与生活服务类 App，聚焦车贷与按揭业务的「甜橘」App 已正式下架。 业内人士表示，银行纷纷进行 App「瘦身」的主要原因在于用户活跃度低、体验不佳及功能冗余等问题。 「银行数字化转型初期，行业对具体路径并不明确。当时市场普遍认为，功能聚焦的轻量级专业 App 能更精准地满足客户需求，提供更好的体验，即所谓‘垂直化’经营。」某股份行内部人士介绍。 然而在实践中，App 过多反而对消费者构成了负担。 北京地区一位用户坦言：「我之前下载了好几家银行的多个 App，有些生活服务类 App 优惠力度确实大，但这些 App 数量实在太多了，既占手机内存，我也用不过来。后来我只保留了一家银行的生活服务类 App 和手机银行 App，希望它们将来也能合并。」 「过去条线思维主导，每个部门都想拥有自己的 App，这意味着掌握触点与预算资源。但在体验与成本压力下，独立 App 的存在正被重新审视。」一位股份行人士对记者称。银行也逐渐认识到，客户更偏好在一个 App 完成全场景金融与生活服务，一站式体验成为数字化竞争的核心。多家银行宣布：App 关停、迁移
1970403661520790690,112,iPhone 18 系列十大升级曝光，将使用 2nm 工艺芯片，首次采用钢壳电池，还有哪些看点？,说起保密工作做得相对较差的手机厂商，大概就是苹果了。 虽说 iPhone 17 系列才刚发了两个月，但是 iPhone 18 系列的水管就已经爆了，到目前为止，被传出的升级点数量来到了十个。 一、灵动岛缩小 在明年的 iPhone 18 系列中，苹果将进一步缩小灵动岛，但仅限于 Pro 版本。 最初是在今年 3 月，马克・古尔曼放出消息，称 iPhone 18 Pro 系列的「灵动岛」更小，屏幕将只保留前摄的一个单孔，Face ID 实现屏下化。 后续，The Information 、 Ross Young 均发布了类似报道，但都表示灵动岛区域只是缩小，而非去除。 原因在于部分面板下的 Face lD 元件仍然保留在「药丸」区域内，而不是透明。 二、透明后盖 在今年的 iPhone 17 Pro 系列上，苹果将背板设计焕新，变为「玻璃 + 金属」拼接。 而在 iPhone 18 Pro 系列中，苹果有望继续带来新元素 —— 透明。 在今年 9 月，微博博主在前瞻中透露，iPhone 18 Pro 系列的工程机在大体设计上保持不变，维持横向大矩阵后置镜头模组，三摄镜头排列也与 17 Pro 系列一样。 但是，后盖拼接玻璃，会带有一点透明设计。 而在今天（11 月 7 日），该博主再度确认 iPhone 18 Pro 系列后盖有透明设计。 三、钢电池 同样是在今天的博文中，博主还爆料称 iPhone 18 Pro Max 会首次采用钢壳电池。 与传统的塑料电池相比，钢壳电池更抗冲击，并能更有效地将热量传导出去，同时其刚性外壳有助于保持内部结构的稳定。 不过，尽管钢壳电池在安全性、散热和寿命方面有优势，但弊端是增加手机的重量。 四、可变光圈 想必不少 IT 之家家友都听说了， 说起可变光圈，大家应当不会陌生，毕竟三星、华为、小米等手机都运用过了。 通过可变光圈镜头，可根据拍摄环境灵活调整真实景深，实现更多样化的照片风格。 还记得在初期，曾有传闻称苹果 A20 系列芯片将维持 3nm 工艺，但后续郭明錤等多个消息源都明确， 并且在工艺迭代的同时， 得益于此，A20 芯片不仅将在运算速度和能效上实现显著提升，还有望提升整体运算及 AI 功能的效率，更能有效降低功耗，延长电池续航，并进一步压缩芯片体积，为 iPhone 内部设计带来更多灵活空间。 但需要注意的是，2nm 工艺的成本会暴涨，单价可能高达 280 美元，较上代的增幅达 86.67%。 不只是主芯片焕新，基带芯片亦会迭代，爆料显示 iPhone 18 全系会全面换用自研的第二代 5G 基带芯片 C2。 但是与 A20 所用的 2nm 不同，C2 还是停留在 4nm 工艺进行量产。 该芯片会成为苹果首款 在今年的 iPhone 17 系列中，Pro / Max 配备的是 12GB 运行内存，标准版用着「低人一等」的 8GB。 好在在 iPhone 18 系列中，全系会对齐颗粒度，12GB 会下放至标准版。 据知情人士透露， 在 iPhone 16 系列中，苹果新增了一个专门的相机控制按钮，但前段时间曾有传闻称，苹果会在明年砍掉此按钮。 不过 @刹那数码 给出了不同的说法， 但为了降成本，拿掉了电容（目前是电容 + 压感），用纯压感实现了所有的功能。 在过去数代 iPhone 中，苹果钟情于索尼，配备的摄像头传感器均为索尼的产品。 但是在 iPhone 18 系列中，苹果可能要变心了，有和三星牵手的苗头。 苹果曾宣布其新一代芯片将由三星电子在美国得克萨斯州奥斯汀的芯片代工厂生产，据悉这款芯片很可能是用于下一代 iPhone 的 CIS。 有内幕人士称， 开售前火热、上市后遇冷，iPhone Air 由于销量不及预期，传出了供应链产能将缩减超 80% 的风声。 不过，从现实情况来看，iPhone Air 不会「一代而亡」，至少会迭代两次。 而在昨天（11 月 6 日），微博博主发文透露，iPhone 18 Air 目前是正常迭代状态，6.5 英寸高刷中屏 + 3D 人脸 + 横向跑道设计不变，同样是超轻薄定义，
1971535724693120809,108,杨瀚森连续 5 场坐板凳没出场，同时球队也没有将他下放 G 联赛，对这个安排你怎么看？,
