排名,标题,bv号,作者,日期,观看数,硬币数,点赞数,点踩数
1,修女团 ||  成为我们的信徒 ❤ 内含眼神版  ||  UP DOWN 【EXID】,BV18b1CBHE2w,竹笙Zoe,1762333200,1771243,23310,134712,0
2,大家好，我结婚了！,BV1fv1WB1EYd,田一名sir,1762315472,8016313,162458,765705,0
3,英国怎么拉成这样了,BV1vtkQB5Ek3,燕三嘤嘤嘤,1762681800,1453817,20890,90694,0
4,疑似弱智吧记者拷打神人视频泄露流出#2,BV19323BqEPf,谷谷永不咕咕,1762511129,2417924,2607,149176,0
5,G.E.M.鄧紫棋《Sacrifice》LIVE｜2025英雄联盟全球总决赛现场,BV1zFkXBHE3C,GEM鄧紫棋,1762699179,214995,8527,16723,0
6,"""神啊，可不可以让我感受一下，没有刀子的世界啊！！""",BV1ey1yBcETv,学姐圆,1762575000,383692,23432,86542,0
7,“突然就释怀了，我还有万里路要行”,BV1sH2TB5E6N,唯美风景线,1762488344,4945579,8429,269456,0
8,底层逻辑解构猪肉，理解各部位的区别和做法，不用死记硬背,BV1Ni2PBMEmm,杨光_建厨师,1762581900,1297997,24261,50879,0
9,你为啥直接和我表白啊周礼里不是这样的！,BV1Hu1oBkE3T,是以有庆,1762654640,397808,2198,32888,0
10,🐱还是会想你，还是想哈你🐱,BV1jV1XBWEiW,树深时见鹿dear,1762592788,415458,8255,66682,0
11,【千星奇遇】跳舞的原全新曲目《仲夏夜绮思》关卡展示,BV1kekDBnEeA,MVsVPD,1762684746,80193,971,7127,0
12,"""bro似乎遇到了一些麻烦""",BV1Du2TBpEdv,一大筐会飞的草莓,1762487100,4082900,25107,312612,0
13,《崩坏：星穹铁道》动画短片：「你好，世界」,BV14G1kB5Evp,崩坏星穹铁道,1762315200,5298370,483303,445449,0
14,“当你发力走出风格”,BV1Xo1DBLEjk,千秋燃剪,1762604390,694922,4706,71445,0
15,带上一群Coser去看S15？！,BV1PR2cBtEx5,视角姬,1762509600,426386,911,41355,0
16,岁月带走了她的容貌，却没有带走她的嗓音！——塞西尔科贝尔,BV1BV11BgE2a,青春与感悟,1762530831,498740,1591,64063,0
17,GAI周延 CBLOCK丨进化论重庆限定场《我们的歌》,BV1BAkXBJEap,GAI周延,1762697916,36816,2659,3573,0
18,实弹测试！防弹衣能挡住多快的子弹？,BV1mr2MBJEiA,亿点点不一样,1762509600,5133615,38916,233346,0
19,你的“六边形战士”来了！,BV13r1QBjEYb,新华社,1762617600,343390,6314,47188,0
20,宇宙级吃播！网友：馋哭国际空间站了~,BV17m1zBXEQo,央视军事,1762228733,3984917,15424,218870,0
21,当 你 被 男 朋 友 拍 了 丑 照 想 反 击 时 ：,BV1Tw2gBREjB,星有野,1762570800,2023434,4942,199396,0
22,《并不喜欢吃鱼》,BV1wZ14BtEga,龙馍馍,1762387200,508108,4590,62009,0
23,“悬溺一响，苦命鸳鸯登场”,BV1i82cByEwz,深海色带鱼,1762423500,1935606,18161,123561,0
24,没有比这个更离谱的视频了,BV1m6kSB4EjF,潮汕好男人,1762657111,258030,1865,12763,0
25,终于长成了小时候喜欢的二次元大姐姐,BV1vi19B4Efp,林卡路,1762614807,318737,1135,76522,0
26,最后的最后，重温一遍这不同以往的浪漫故事吧,BV1ka1ZB1EjJ,尚尚会魔法,1762408283,254144,13896,63139,0
27,日本真的方便吗？方便个屁！,BV18fkDBPEDB,马佳PopMatta,1762680767,299493,1053,22018,0
28,警惕你的“垃圾自律”！！,BV11a2wBwEpU,老明读书,1762437998,777192,17279,59566,0
29,摄影说一秒都不用剪,BV1h219BSEb3,米苏Emilia,1762613817,287891,1255,63386,0
30,睡吧，孤独的王！晚安，箭头,BV13b1oBfEmc,南溪以南-,1762651350,161441,2801,18082,0
31,跟着明星朋友开海外万人演唱会是什么体验？,BV1uwkQBwEaJ,中国BOY超级大猩猩,1762680014,154409,4262,17045,0
32,梅根之Love Is A Battlefield,BV1zN1XBfEtw,热血阿珊酱,1762597076,1464649,4564,134497,0
33,桑多涅 哥伦比娅 愛包ダンスホール【原神MMD】,BV1fY19BbE5P,Gosari542,1762612328,161814,4436,22338,0
34,想念成了会呼吸的痛......,BV1dMkDBMEgV,念叁叁叁,1762688770,238531,8999,37804,0
35,你能够逃脱中国军警的几星追捕？,BV1Co16BvEZs,警务实战,1762228800,2938139,13521,127083,0
36,特厨探店|粤菜的另一座高山？！—炳胜,BV19Z1XBpESg,特厨隋坡,1762659000,707387,4918,58645,0
37,【深度】我国正在经历全球最剧烈的代际冲突,BV1NR1bBMEGJ,CLS同学,1762567200,362946,1546,39180,0
38,还得是你龙叔！智者向内寻求力量？人格魅力拉满！主角天花板那一档！而且他居然还有成长？是老师，也是学生【成龙历险记】,BV1fAkXBJEME,POP杂货铺,1762698221,80083,1310,5844,0
39,史上最清流的游戏主播！10年不接广告，还能让家长放心给孩子看！？,BV18B1SBzEoj,老油条说,1762588985,2482293,4857,121305,0
40,asmr 揉搓掏,BV1eKkDBzEjG,枯水,1762688493,106926,2817,3511,0
41,🐱“基米在寻觅，绿豆在哪里”🐱,BV1L62NBWEAk,咆哮丶土拨鼠,1762513200,1235007,34237,191647,0
42,挑战在海底捞生存24小时！,BV1K42uBSEwu,老番茄,1762506000,3074002,17107,104425,0
43,出门，捡到被遗弃的机械少女(完整版)【SISE小剧场】,BV1Sh1pBtEj8,SISE糸色,1762596900,106914,1527,13624,0
44,真的这么有质感吗🤯贵族姐姐为你做专注度测试♡巴洛克风格♡轻语/专注力引导/灯光触发/手势/视觉·听觉·色觉·触觉测试😴【4K超清/Hires无损音质】,BV1H5kSBLEnU,梵拉-Valar,1762661911,262662,3394,10254,0
45,🍬怀疑UP主是神人🍬,BV1qW1mB3E3W,DJG杰哥,1762574400,282115,1987,39927,0
46,科比参加《变形记》,BV1Cj2ABwEkr,濑屎虾,1762430724,1273041,13736,67691,0
47,只有在印度才能见到的烹饪奇景,BV1GokXBVEHc,世界美食official,1762689673,377907,2040,31778,0
48,来自清晨的鸡汤。,BV1jF1ZBBEMW,老陌Ss,1762646343,140054,1338,11069,0
49,【TF_ING】穆祉丞自由演唱会纪录片《自由骑士》,BV1MNkQBFEE3,TF_ING,1762689600,42982,7057,7938,0
50,【暗区突围手游】安全撤离，一个都不能少！,BV1gD1dBdESs,暗区突围,1762668000,137348,2966,23910,0
51,【大鸣王潮1566】这就是前辈们的养成方式吗,BV1aEkXBuEN2,寞桀緣才,1762700150,298276,14239,35978,0
52,《打开书本里的中国》第一期|真实的香港生活和你想的是一样的吗,BV1BAkDBkEFJ,何香蓓Betty,1762686042,42897,1554,5909,0
53,被判13年？汪楠为啥会被抓？【20251108食贫道直播】,BV19DkDBzE3C,稳重一点啊,1762677049,179686,612,7022,0
54,为什么说蜻蜓是昆虫界的最强掠食者？,BV1cK1XBFEHW,行者道荣,1762599781,295027,590,16316,0
55,刷罗小黑3天，鹿野治好了我的精神内耗（真的）,BV1Zy1DBWEBi,月制品,1762577705,285256,3963,24987,0
56,失明后第一次来CP漫展，我办了个特殊的展台,BV1MdkUBtEmX,诺子喵呜,1762668707,106116,3623,12877,0
57,黄金裔杀青下班之后都在玩些什么,BV1nF1DBsEja,魅力魔芋爽,1762586341,1472596,3154,133550,0
58,《神曼波》正式动画PV,BV1tz1mBcEhz,神探丐洛特,1762544232,270801,9061,26764,0
59,用生命做视频？00后的博主都在做什么？,BV1eU1vBiEqh,影视飓风,1762169434,4465406,243999,316867,0
60,NMIXX - 《大东北我的家乡》太 die π 了 [AI COVER],BV1dt1SBjEsU,转旋的利奥利,1762587469,263420,4447,26654,0
61,炒鸡蛋真的比三角洲流量高吗？,BV1zF1UB2Eyn,经济学教父丷,1762572684,917617,15496,126710,0
62,⚡我 自 己 剪 的 时 候 也 没 蚌 住！⚡,BV1r11nBGEht,Crazy-face,1762312263,1434928,18202,227245,0
63,【cheems 帮派故事——恶念  恶行  恶人——第零集——《完美的糟糕结局》】,BV1qCkDB5Es9,红白真的啥也没看见啊,1762678146,28599,1198,3421,0
