排名,标题,bv号,作者,日期,观看数,硬币数,点赞数,点踩数
1,【CG】爆肝一年半，UP主一人自制电影版《进击的巨人》,BV1Eb421i7Z4,打杂的十八,1717585200,1479001,185297,292900,0
2,《黑神话：悟空》耗时两年创作独立短片 | 直面天命,BV1e7421R7sR,一粒林宥嘉,1717762800,1010101,161217,132804,0
3,自来也老师，这次，我来保护你!,BV1GS411P74t,牙牙的包裹,1717767589,1602554,246117,268002,0
4,嘴笨的人进来学，如何一句话反杀杠精，破解有毒逻辑，见招拆招、以杠治杠,BV1t142127hk,心河摆渡,1717581600,1352980,34055,80450,0
5,当我相信了新疆人的简单吃一点…,BV19n4y1Q7LM,盗月社食遇记,1717734839,1017292,38781,96472,0
6,【BGA】数.理.化.生. {高中合集},BV1hx4y1J7nB,钅离_LX,1717722000,107436,4467,9554,0
7,当 代 考 生 现 状,BV18T421e7aX,路路迷路路,1717817468,115146,4409,19173,0
8,《崩坏：星穹铁道》SGF参展视频——「做梦的艺术」,BV1GM4m1S7by,崩坏星穹铁道,1717819200,767831,32661,105381,0
9,林 黛 玉 大 战 原 神,BV1Km421K79f,神奇的老皮,1717732800,1138685,10167,78467,0
10,【饿殍：明末千里行cos】初中生的满穗cos正片,BV184421X7aR,湫湫_QiuQiu,1717667970,443771,9098,72795,0
11,【Hi-Res】I Got Smoke - Explicit Ver.,BV1Hn4y1d7Tz,V在燃烧怎么没了,1717430400,2146604,193213,258062,0
12,“白月光的杀伤力…”,BV1W142127JN,恋上全宇宙的姐,1717482335,550010,3256,55362,0
13,玩前豪言壮语，玩时胡言乱语，玩完沉默不语,BV1FJ4m1376p,老番茄,1717819285,177516,2556,20318,0
14,考神本尊前来送分，文昌帝君带你上岸！,BV1py411h7mg,-古人云-,1717671600,216615,15471,65058,0
15,《黑神话：悟空》现已开启预购 | 2024.8.20，直面天命,BV1ex4y1J7JE,黑神话悟空,1717795827,2449075,115321,198878,0
16,王妈走了,BV1kD421g76G,七颗猩猩QKXX,1717665137,3655834,49785,295278,0
17,从学生到新婚，旅行17年总结的干货大放送,BV1L7421d7dN,小鹿Lawrence,1717762199,183220,11027,14153,0
18,花儿很冷！请原凉我，我弹过吉他,BV16s421g74d,白石与吉他,1717497793,335327,2496,58923,0
19,【毕导】打个赌，你说不出第二种蓝色的水果,BV1mT421Y7mE,毕导,1717752568,3370203,70205,201423,0
20,你一句别画了让我坚持到现在,BV13b421i7h9,不滚粪球的屎壳郎,1717592681,382241,6923,114270,0
21,对对对，再嫌弃一点( ˃̶̤́ ꒳ ˂̶̤̀ ),BV1wn4y197Zb,纱雾人柱力,1717243513,324195,847,76796,0
22,小猫：宿管阿姨走了没有,BV1d7421R7UN,短腿小拖宝,1717725496,1069576,517,171281,0
23,【OGS东方女孩试镜秀】黑金旗袍 这难道就是中式黑道千金嘛,BV1gT421v7JA,OGS东方女孩官方,1717498800,1327157,5588,134478,0
24,男人嘛，要打开自己的格局！,BV1qT421Y7Hy,星有野,1717815600,762883,7762,99174,0
25,小小蝴蝶步,BV1fJ4m1u74Q,七毒喵,1717672919,617213,1602,85190,0
26,好莱坞星光大道上最棒的小丑Coser！,BV1qb421i7ZY,YouTube精选字幕组,1717599926,1623475,4558,375243,0
27,日向想让你把手指放到圆圈里,BV1QM4m1z7fn,SP空港,1717663858,185162,5907,61686,0
28,⚡臣妾要告发 范闲私通⚡,BV1tS411K7ND,小玉玉12345,1717658154,832307,6487,62844,0
29,轻松拿下韩雪模仿大赛第一名,BV1eZ421p7Xq,蒋蒋蒋不停123,1717643713,1835739,4467,177967,0
30,堕落和重生，只在一念之间！,BV1f7421d7sL,老八workout,1717428026,2523075,12791,312438,0
31,握紧长剑之时，我代表的是枫丹的律法与规则,BV1T7421d7Z9,貂蟬的腿毛,1717757744,255534,1837,63359,0
32,自费10W把赛尔号做成【3D游戏】！但结果.....,BV1wi421U7JU,-冰源-,1717301100,1494210,188130,158345,0
33,当我尝试给猫猫唱搁浅,BV1tZ421g7x3,吖懒健身日记,1717750800,511950,1338,112572,0
34,《逆境之光》,BV1dS411P7L4,LuFee__,1717752600,190931,3049,21226,0
35,我的26岁，在叙利亚建学校,BV1Gn4y1d7UR,刘开心在叙利亚,1717571886,504897,90834,238568,0
36,大家都以为那是玩笑话，没想到他却坚持还债近一年！欠2万只圣骸兽，已还19367只，胜利就在前方！,BV1on4y1R7ni,杀完两万圣骸兽再改名,1717718400,591533,13321,79058,0
37,《Pure Imagination》,BV1Xn4y1Q7JX,神龙士力架,1717752600,102579,9162,17603,0
38,用曹操的口吻，带你了解曹操的一生,BV1Tf421X7br,林欢喜耶,1717245014,1577482,7718,25713,0
39,【鱼肉肉】蝴蝶步2.0₍ ˶ᵔᵕᵔ˶₎,BV1E4421X7Bj,鱼肉肉pabo,1717674149,599934,3598,90603,0
40,F杯大胸女生买衣服有多难？,BV1Wb421H7nX,鹦鹉梨,1717739669,489522,1480,19090,0
41,当 代 端 午 假 期 现 状,BV1kM4m1S7Va,进击的金厂长,1717754571,248677,6479,37411,0
