问题ID,热度,标题,摘录
1970526611909604729,900,媒体称 30 岁小伙长期熬夜患上脑膜炎，智力退回到 3 岁，熬夜真的会引发脑膜炎吗？,近一个月内，宁波大学附属第一医院感染科已连续收治 8 例脑膜炎患者，他们的平均年龄仅 26 岁，最小的患者甚至只有 16 岁。而「熬夜刷手机」「作息昼夜颠倒」，成了这些年轻患者身上最突出的共同特征。 30 岁的打工者小张（化名）小张在表姐的工厂打工，平时晚上没事就在宿舍打游戏，有时候一玩就到了凌晨。事发当天，表姐发现小张没来上班，电话也无人接听。 察觉异常后，表姐赶到他的宿舍，发现他躺在床上，说话含糊不清，整个人发着高烧，于是她立即拨打 120，将小张送往附近医院。 送医途中，小张病情急剧恶化，出现嗜睡症状，转至宁波大学附属第一医院时已陷入昏迷。经检查，医生确诊他为「病毒性脑膜炎伴脑炎」。 由于病情危重，小张被转入 ICU 进行抢救。经过 ICU 、感染科、神经内科、神经外科等多学科专家联合会诊（MDT），尽管小张最终脱离了生命危险，却留下了严重后遗症：智力退至 3 岁儿童水平，无法正常说话，肢体运动能力大幅下降，生活完全不能自理。智力退回到 3 岁，浙江 30 岁小伙长期熬夜后中招…接连 8 例，全是年轻人！_ 腾讯新闻 这种病在年轻人中常见吗？
1970960825096344112,599,在 T1 三连冠后，如何看待社区中「定制冠军」「官方造神」「LCK 已死 /LPL 不玩了」的声音？,
1970810565719992271,526,海昏侯墓首次发现秦汉时期全本《诗经》，这一发现有何重要意义？,中新社南昌 11 月 8 日电 (记者 李韵涵) 南昌汉代海昏侯墓考古发掘成果公布十周年暨汉代区域文化学术研讨会 8 日在南昌举行，会上专家公布了海昏简牍的最新修复进展。其中，海昏侯墓中出土《诗经》相关简牍约 1200 枚，并首次发现秦汉时期全本《诗经》。 海昏侯墓主是汉武帝之孙刘贺。该墓共出土各类文物一万余件 (套)，这些文物系统展现了西汉时期的礼制规范、工艺水平与生活方式。在纸张发明之前，竹简、木片是古人最主要的书写载体，海昏侯墓中共出土竹简木牍 5000 余枚。 湖北省荆州文物保护中心主任方北松表示，海昏侯墓出土的简牍文物有着糟朽、残缺、饱水、断裂等胎体病害，还有残缺、模糊、变形等简牍字迹病害，修复难度较大，但目前已经完成了大部分的简牍保护工作，预计 2026 年将全面完成。 2024 年 11 月 27 日，南昌汉代海昏侯国遗址博物馆的文物修复室内，文物修复师正在清洗竹简。 刘思伟 摄 江西省文物考古研究院研究馆员、海昏侯墓考古发掘领队杨军表示，海昏侯墓中出土《诗经》相关简牍约 1200 枚，简上有「诗三百五篇，凡千七十六章，七千二百七十四言」，证明海昏简《诗经》是全本《诗经》，这是秦汉时期全本《诗经》的首次发现。 在数千枚简牍中，有 500 余枚《论语》竹简，其中便有失传的《齐论语》。杨军在作报告时表示，海昏侯墓出土的《齐论语》保存较好，字迹清晰。同时简头平整，文前留白，简尾处略有残损，但未见文字痕迹。此简为墨写隶书，文字端正工整，叠字重复书写，不使用重文符号，文意较为完整。 杨军称，除《论语》《诗经》外，海昏简还有《礼记》《春秋》《孝经》等，是汉武帝独尊儒术、广收篇籍的重要体现。此外，还有《易》类文献，约 200 枚，海昏简中的《易占》是占卜类文献，前所未见。 杨军透露，虽然海昏简牍没有完全修复完毕，但在不久的将来，会有一批新修复好的简牍与观众见面，其中将包含《论语》的相关简牍。 海昏侯墓考古发掘领队：首次发现秦汉时期全本《诗经》
1970517053942260533,417,知名导演王家卫被曝想办夏令营收集年轻人剧本，真实情况如何？若属实，这反映了影视行业怎样的生态？,11 月 8 日古二再曝王家卫录音，王家卫称要开影视公司招学生，开夏令营收年轻人剧本，其中枪手许某还疑似内涵陈坤周迅。 10 月 31 日，青年编剧「古二」（程骏年）发布多段录音，相关话题冲上热搜！ 相关内容里提到《繁花》中大量重头戏份为古二所写，其中有一段谈到第二天要拍唐嫣的戏，王家卫给古二讲工作安排时说到：「告诉你，唐嫣呢，是个很装的人。所以呢，第一（明天讲戏时）你不要让她先到，你要老师先到，你先暖个场。」 秦雯透露《流金岁月》中刘诗诗与倪妮争台词，秦雯称陈道明记不住大段台词，王家卫认为游本昌「不是省油的灯」等。 其中作为《流金岁月》编剧的秦雯提到，有刘诗诗粉丝发微博抱怨，还艾特自己与剧方官博，痛斥编剧将原作中蒋南孙（刘诗诗 饰）的重要台词派给了朱锁锁（倪妮 饰）。而秦雯分析称，作为一部正在拍摄中的剧集，粉丝不可能知道台词是什么，因此应该是演员团队透露，并通过粉丝来给创作团队施压。 王家卫、秦雯在录音中多次聊到陈道明，因为他们有意向让陈道明来演「爷叔」。秦雯还提到，陈道明喜欢修改台词，然而长段的台词，他又记不住。 9 月 23 日晚，《繁花》剧组曾发声明，谴责古二偷录剧组主创的私人对话，「更恶劣的是对录音内容进行加工，非法对外公开发布，严重侵害他人隐私，毫无职业道德。」古二再曝录音，王家卫想办夏令营以此收集年轻人剧本，枪手许某疑似内涵陈坤、周迅
1970946436540666812,322,S15 总决赛夺冠后，Faker 达成六冠王成就，对此你有什么想说的？,2025 年 11 月 9 日，faker 完成六冠王！
1963991899741315635,275,200 元就能在县城住上希尔顿，五星级酒店为什么开始争抢县城市场？这样能盈利吗？,「 在县城，200 块能买什么？」 十年前，答案可能是：两杯奶茶 + 一顿火锅，现在，答案变成了：只要 200 元，就能一晚希尔顿级别的豪华酒店。 上个月，安徽全省首家县级希尔顿惠庭酒店在石台县开业，这个只有 7.7 万人口的小县城，也有了正牌的希尔顿。 甚至从去年开始，洲际、希尔顿、万豪、温德姆等国际酒店巨头纷纷在小县城落下棋子，开启了一场前所未有的布局行动。 华住集团创始人季琦公开表示出进攻县城的决心：「 在 2030 年前，我们的目标是把华住开到中国的每一个县城，做到县县有华住。」 而每一个从一二线大城市来到四五线城市出差的人，都会刷新自己的认知。 万豪、希尔顿带着标准化流程涌入县城，县城酒店的集体逆袭：从行政酒廊到高雅大堂、从自助餐到花园浴缸露天泳池 ... 如果有人问那些中档、豪华酒店连锁到哪里去了？ 答案只有一个，就是 「 县城里 」。200 元一晚的希尔顿，快让县城年轻人爽翻了 _ZAKER 新闻
1969926558018962069,184,如何评价教育部新规要求，奥赛生原则上只能保送至对应的基础学科专业?,链接：2026 年高校部分特殊类型招生工作答记者问 - 中华人民共和国教育部政府门户网站
1970947477336192450,172,如何看待 S15 全球总决赛上 BDD 尽力局止步亚军，Doran 连打带送夺得冠军？,
1970937171197260863,149,白百何工作室晒时间线，回应东京电影节争议，「我方只要一个真实、正确的说法」，具体是怎么回事？,11 月 9 日，「白百何工作室」官方账号发文回应近期东京电影节争议，并晒出了聊天记录和与相关人士沟通的时间线。 时间线显示，11 月 3 日，白百何方得到通知没奖可以回国，随后再次确认得知有最佳导演奖和最佳男演员，并收到信息可以回国，并未受到参加闭幕式的邀请。聊天记录还显示，白百何方得知获最佳导演奖和最佳男演员奖后，先说了「哇」「恭喜恭喜」。 工作室回应全文如下： 发言的二位，请先坐下来好好「沟通」一下你们自己之间的信息差，再谈可能会不会伤害到「彼此」和「大家」。这种自首式发言，很难想象出于「专业」制片人和名导口中。我方只要一个真实、正确的说法，而非这种避重就轻，混淆视听，甚至无中生有！ 故事冗长…... 体面收场为好。 不后悔选择，不质疑苦难。职场就是这样，有时候规则混乱，权责不清，总有人在敷衍了事，也总有人在拼命补救，你越是「兜底」，就越会让制造麻烦的人「心安理得」。 快年底了，马上就能回家过年了。职场上遇到什么不顺心的事，姐说可以去她微博下面留言，她给你们当树洞！ 人生需要向前看！不回头！ 11 月 6 日，白百何发长文回应《春树》入围东京电影节期间引发的「还能这么操作」争议，强调自己不认同剧组在信息通知、活动参与上的处理方式，认为自己被「完全排除在外」。而后，《春树》导演和制片人接受采访时表示，他们无差别地把导演和男主角获奖的消息通知给了所有人，白百何的经纪人还曾回复恭喜。 白百何工作室晒聊天记录时间线回应争议，此前白百何曾发文认为自己被「完全排除在外」
7330965569,126,我一见领导就紧张该怎么办呢？,
