标题,排名,热度,类别
#习近平会见巴基斯坦总理夏巴兹#,置顶,0,置顶榜单
质疑丫头 理解丫头,1,962934,作品衍生
昨夜金价大跌,2,478211,财经
文化遗址里的中国故事,3,40436,社会新闻
刘亦菲至今没结婚的原因,4,1402388,作品衍生
弟弟高考后准备要求花5万,5,1109209,情感
高考物理,6,474468,教育
甲卷文综 逐梦大专,7,644581,教育
赵露思 荨麻疹,8,585361,艺人
伊能静 我爱的女孩终于长成玫瑰,9,520855,剧集
央视曝光鼓浪屿宰客一条龙,10,419584,社会新闻
华晨宇凡希亚飙高音,11,445902,综艺
巴勒斯坦情侣结婚3天后在轰炸中丧生,12,435104,国外时政
Nobody好看,13,417661,综艺
27岁到30岁才是最难熬的,14,373613,情感
墨雨云间加更,15,305112,剧集
为啥运高考试卷用步枪押送现金用霰弹枪,16,293061,"社会新闻,教育"
林更新说杨幂是女神,17,280138,综艺
日本一神社禁止韩国人入内,18,220308,社会新闻
农发行通报,19,198052,财经
警方通报小米SU7事故,20,197307,"社会新闻,汽车"
民警30分钟往返40公里送准考证,21,57638,"社会新闻,教育"
月经血主要来源是什么,22,649863,"健康医疗,科学科普"
精卫好牛,23,268557,综艺
有关高考的独家记忆,24,56456,"社会新闻,教育"
马上大三妈妈突然告诉我她怀孕了,25,245502,情感
原来狗狗老了面相真的很明显,26,235206,幽默
王星越年龄遭质疑,27,229126,艺人
刘亦菲回复徐海乔,28,224408,剧集
横店演员在看墨雨云间,29,207746,剧集
张桂梅累到睡着让人心疼,30,50456,"教育,社会新闻"
考生睡过头民警排查酒店逐房找人,31,193807,"社会新闻,教育"
徐海乔用的是刘亦菲的图,32,212327,剧集
郑妮可可爱,33,188979,综艺
印度教练称国乒害怕颗粒打法,34,169729,体育
甲卷理综已老实,35,169385,教育
邓超陈赫让另一半来五哈,36,157644,综艺
徐海乔超爱,37,143238,作品衍生
花小龙,38,141427,网红
高考最犯难的科目,39,140883,教育
山东今天上午没有考试,40,138897,教育
陈赫比林更新先认出赵丽颖,41,148014,综艺
王霏霏舞台,42,134814,综艺
陈昊宇直拍,43,129823,综艺
陪室友看考研房结果要我平摊车费,44,129313,幽默
墨雨云间,45,120967,剧集
星穹铁道三月七,46,116366,游戏
袁娅维是歌手后采特邀嘉宾吧,47,116109,综艺
张玉宁打封闭出征韩国,48,110488,体育
读研两年谈了四个对象,49,110437,情感
前儿媳实名举报公公有巨额不明财产,50,110083,社会新闻
